2,Era,#:,Song Title,Credited Artist(s):,Producer(s):,Engineer(s):,Additional Information:,File Name(s) | Metadata:,Instrumental Name(s):,Recording Location(s):,Record Date(s):,Preview Date:,Date(s):,Duration,Category:,Available Files:
1202,OUT,105,Hell (v1) Potions,Juice WRLD,"Justin Craig, PD Beats & Sullivan King",Justin Craig,-,File Name: Hell (JcraigMix) Session Title: 2.ptx,Instrumental: jcxpd9252 Loop: SK_guitar_loop_clean_aspect_128_D,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded October 27, 2019.",-,"Surfaced June 21, 2021. Session Surfaced August 11, 2023.",3:31,Original Demo Track ( Complete ),Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
1203,OUT,106,Hell (v2) Potions,Juice WRLD,"Justin Craig, PD Beats & Sullivan King",Justin Craig,-,File Name: Hell (Prod By. Jcraig & PD Beats) FINAL MIX Session Title: 2.ptx,Instrumental: jcxpd9252 Loop: SK_guitar_loop_clean_aspect_128_D,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded October 27, 2019. File Exported October 28, 2019.",-,"Surfaced September 9, 2024. Session Surfaced August 11, 2023.",3:18,Alternate Demo Track ( Complete ),Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
1204,OUT,107,High Tide (v1.1),Juice WRLD,Rex Kudo,Max Lord,-,juice wrld - high tide v1.1 neve LIM,,"St. Martin's Lane Hotel Recording Studio , Covent Garden , London , England .","Recorded March 9-11, 2019.","First Teased March 21, 2019.","Surfaced August 10, 2019.",2:03,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1205,OUT,108,Higher (v1.2) Vitals,Juice WRLD,Dorien Theus & Nick Mira,Max Lord,-,Juice Wrld - higher v1.2 (NM DT woks),Instrumental: NM x DT - Woks 153BPM Loop: dt - clubhouse 150 MIDI: dt - bishop Loop Kit: DT - Remix Beat Pack: Nick Mira - Juice WRLD 3.18,-,"Recorded April 1-9, 2019.","First Previewed January 18, 2023.","Surfaced April 11, 2023.",2:49,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1206,OUT,109,Hit Licks* Harry Potter,Juice WRLD,Carlton McDowell,Max Lord,-,,,"The Westin Hotel Recording Studio , Perth , Australia .","Recorded November 20-21, 2019.","First Previewed January 31, 2024.","Surfaced May 13, 2025.",2:05,Throwaway Track ( Complete ),320kbps (.mp3)
1207,OUT,110,Hourglass Lost My Mind,Juice WRLD,Bobby Raps & Charlie Handsome,Max Lord,Shares the same instrumental as 'Timid Half' & Mike Stud's 'Learn From Me'.,Juice Wrld - hourglass RUFF v1.0 (CHB timidhalf),CHB timidhalf,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded July 29-30, 2019.","First Previewed July 29-30, 2019.","Surfaced January 24, 2026.",3:23,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
1208,OUT,111,In My Head (v1.2) Rush Hour | Trauma,Juice WRLD,TrePounds & Sheldon Ferguson,Max Lord,-,Juice Wrld - in my head v1.2 (reddkiss161 TP),redkiss161 TP,"Casa Monica Resort & Spa Hotel Recording Studio, Lincolnville, St. Augustine, FL.","Recorded May 8-9, 2019.","First Previewed August 31, 2019.","Surfaced April 4, 2023.",3:23,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1209,OUT,112,In The Woods Karma ( Interlude ) Song is titled after the instrumental.,Juice WRLD,"Jasper Harris, Russell Chell & Take A Daytrip",Max Lord,"Shares the same instrumental as The Kid LAROI's 'Blame (Love Me, Hate Me)'.",,Take A Daytrip x Russ Chell x Jasper - In The Woods [inst demo 1],"Home Recording Studio , Encino Hills , Los Angeles , CA .","Recorded November 8, 2019.","First Previewed March 19, 2025.","Surfaced January 24, 2026.",1:33,Throwaway Track ( Complete ),320kbps (.mp3)
1210,OUT,113,Infrared* (with Trippie Redd) [v1.1] Song is untitled.,Juice WRLD & Trippie Redd,DY Krazy & Gezin,Max Lord,-,Juice trippie gezin - v1.1 (DYATL246GEZIN),DYATL246GEZIN,"Home Recording Studio , Encino Hills , Los Angeles , CA .","Recorded July 23-24, 2019.","First Previewed April 13, 2020.","Surfaced September 28, 2020.",1:43,Alternate Demo Track ( Complete ),Original File 320kbps (.mp3)
1211,OUT,114,Jet Lag (v1.1),Juice WRLD,CHASETHEMONEY & DY Krazy,Max Lord,-,Juice Wrld - jetlag v1.1 (DYBH87ctm),DYBH87ctm,-,"File Exported May 6, 2020.",-,"Surfaced February 8, 2021.",2:35,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1212,OUT,115,Jetta Rich Forever,Juice WRLD,KBeaZy,Max Lord,"Song is unfinished, contains an open verse.",Juice Wrld - Jetta v1.0 (money kbeazy),KBeaZy - money 180,"Myconian Avaton Hotel Recording Studio, Elia Beach, Elia, Mykonos, Greece.","Recorded August 21-22, 2019. File Exported August 22, 2019.",-,"Surfaced March 13, 2022.",2:30,Throwaway Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1213,OUT,116,K Like A Russian Lotti Perc Go Round,Juice WRLD,"Michelangelo Pulvirenti, Max Lord, PVLACE, Smash David",Max Lord,-,Juice Wrld - k like a russian v1.0 (XO dennis),Instrumental: xo Loop: 40. xo love story 107bpm pvlace,"DoubleTree Hotel Recording Studio, Dommeldange, Luxembourg.","Recorded March 20, 2019.","First Previewed March 20, 2019.","Surfaced January 8, 2020.",4:13,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1214,OUT,117,Karate Kid,Juice WRLD,JJ Stevens,Max Lord,"Song is unfinished, contains an open verse.",Juice Wrld - karate kid v1.0 (jj skyway),jj skyway,"The Cutting Room Recording Studio, NoHo, New York City, NY.","Recorded October 13, 2019.","First Previewed October 13, 2019.","Surfaced August 4, 2020.",2:39,Throwaway Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1215,OUT,118,"Keep It (v2.6) Song was originally titled 'Meant Forever', after the instrumental.",Juice WRLD,Rex Kudo,Max Lord,-,File Name (1): Juice Wrld - G9 MeantFOREVER rex v2.6 File Name (2): Juice Wrld - Keep It rex v2.6,G9 MeantFOREVER rex,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded September 18-19, 2019. File Exported September 20, 2019.","First Previewed September 18-19, 2019. First Teased September 19, 2019.","Surfaced February 20, 2022.",2:48,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1216,OUT,119,Keep Save (v1.1) Murder Rate Song is titled after the instrumental.,Juice WRLD,Wheezy,Max Lord,"When Juice finished recording the song he stated that he would like Gunna to record a verse on it, it is unknown if that ever happened or if Gunna was ever sent the song.",Juice Wrld - keep save wheezy v1.1,keep save,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded July 17-18, 2019. File Exported August 22, 2019.","First Previewed July 17-18, 2019. First Teased August 21, 2019.","Surfaced July 7, 2020.",3:28,Alternate Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1217,OUT,120,Kill All My Troubles (v1.1) Muddy,Juice WRLD,ATL Jacob & TrePounds,Max Lord,"Song is unfinished, contains an open verse. Samples Lynnea M's 'Lovely (Cover)' by Billie Eilish.",Juice Wrld - kill all my troubles v1.1 (FBG 1798),FBG 1798 [ATLJACOB],"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded July 23, 2019.","First Previewed October 11, 2021. First Teased July 29, 2019.","Surfaced March 7, 2024.",4:06,Alternate Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1218,OUT,121,Laced (v1.1) Heavy Metal,Juice WRLD,Hit-Boy,Max Lord,"Song is unfinished, contains an open verse.",chalice 2018 452 v1.1 laced open 87bpm,chalice 2018-452,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded June 28, 2019. File Exported December 21, 2022.","First Previewed June 28, 2019.","Surfaced July 26, 2025.",3:13,Alternate Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1219,OUT,122,Let It Off (v1.3) On The Road,Juice WRLD,Marshmello & KSHMR,Max Lord,-,Juice Wrld mello - let it off v1.3 (melancholy),mello kshmr melancholy,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded October 3, 2019.","First Previewed October 4, 2019. First Teased October 9, 2019.","Surfaced August 17, 2021.",3:24,Alternate Demo Track ( Complete ),Original Files 2304kbps (.wav) 320kbps (.mp3)
1220,OUT,123,Let Me Be (v1.1) Lone Ranger,Juice WRLD,Seezyn,Max Lord,"Samples Puzzle Muteson's 'We Are, We Own'.",Juice Wrld - let me be v1.1 (EYE ON ME szn),EYE ON ME,"Thompson Seattle Hotel Recording Studio, Pike Place Market, Seattle, WA.","Recorded April 20-29, 2019.","First Previewed February 26, 2021.","Surfaced June 6, 2022.",4:26,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1221,OUT,124,Life's A Mess ( v2 ),Juice WRLD,Charlie Handsome & Rex Kudo,Max Lord & Unknown,-,LIFES A MESS F2,140 RRRGT REX,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded September 25, 2019.",-,"Surfaced March 21, 2023.",3:25,Alternate Demo Track ( Complete ),Original File 2304kbps (.wav)
1222,OUT,125,"Lock And Load* Gun Song Song is titled 'ALLURE 21', after the instrumental.",Juice WRLD,Gezin & Prevade,Max Lord,-,Juice Wrld - ALLURE 21,ALLURE 21 GZ,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded August 13, 2019.","First Previewed July 1, 2024.","Surfaced December 3, 2024.",2:07,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
1223,OUT,126,LOL Ribbit,Juice WRLD,DJ Victoriouz & DougieOTB,Max Lord,Shares a very similar instrumental with Leaf Ward's 'The Drop'.,LOL,,"Dream Midtown Hotel Recording Studio , Midtown Manhattan , New York City , NY .","Recorded April 3, 2019. File Exported October 16, 2022.","First Previewed September 26, 2023.","Surfaced March 14, 2024.",4:24,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1224,OUT,127,"London (Interlude) Song was originally titled 'CASREWHEZOCEANO', after the instrumental.",Juice WRLD,"Cashio, Rex Kudo & Wheezy",Matteo Galesi,-,File Name (1): REX JUICE - CASREWHEZOCEANO File Name (2): REX JUICE - London interlude,CASREWHEZOCEANO,"Matteo Galesi's Tileyard Recording Studio, London, England.","Recorded July 9, 2019.","First Previewed July 9, 2019.","Surfaced September 8, 2020.",2:24,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
1225,OUT,128,London (v1.2) Flight To London | Mother Russia,Juice WRLD,London On Da Track & Rex Kudo,Max Lord,-,Juice Wrld - London v1.2 (140 LRb1 rex),140 LRb1 rex,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded November 7, 2019. File Exported January 26, 2020.","First Previewed November 7, 2019.","Surfaced September 23, 2022.",3:15,Alternate Demo Track ( Complete ),Original File 2117kbps (.wav)
1226,OUT,129,Long Gone (Pt. 2) [v1.3],Juice WRLD,Don Kevo & It'sMoeBeats,Max Lord,Sequel track to 'Long Gone'.,Juice Wrld - long gone pt 2 v1.2 (343 don kevo),Instrumental: 343 don kevo Loop: Doomed,-,"Recorded March 20-29, 2019.",-,"Surfaced November 13, 2020.",3:41,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1227,OUT,130,Long Live The Hustle (v1.2) Tattoos And Ink Song is titled after the instrumental.,Juice WRLD,Metro Boomin',Max Lord,-,Juice Wrld - LONG LIVE THE HUSTLE 26 metro v1.2,LONG LIVE THE HUSTLE 26,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded July 30-31, 2019.","First Previewed March 29, 2020.","Surfaced May 9, 2022.",2:33,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1228,OUT,131,Long Time Coming (v1.1),Juice WRLD,DY Krazy & Rex Kudo,Max Lord,-,Juice Wrld - long time coming v1.1 (DYBH30rex),DYBH30REX,-,"Recorded April 1-9, 2019.",-,"Surfaced November 13, 2020.",3:11,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1229,OUT,132,Macaroni Sound (v1) Extra,Juice WRLD,Rex Kudo,Max Lord,-,File Name: Juice Wrld - macaroni sound v1.0 (DD2 ChicagoSUNS rex) Folder Title: DD2 ChicagoSUNS rex,DD2 ChicagoSUNS 164,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded September 26, 2019.","First Previewed September 26, 2019.","Surfaced December 26, 2025.",3:01,Original Demo Track ( Complete ),Original File 2304kbps (.wav)
1230,OUT,133,Made It Work Under 25,Juice WRLD,KBeaZy,Max Lord,-,Juice Wrld - made it work v1.0 (intersellar),KBeaZy - interstellar 143,"Fordson Hotel Recording Studio, Central, Oklahoma City, OK.","Recorded June 11, 2019.","First Previewed November 30, 2019.","Surfaced August 9, 2020.",3:35,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1231,OUT,134,Make Myself Clear Swear,Juice WRLD,Nick Mira,Max Lord,-,Juice Wrld - make myself clear v1.0 (NM tonight),Instrumental: NM - Tonight 87BPM Beat Pack: Nick Mira - Juice WRLD 3.18,"Fairmont Pittsburgh Hotel Recording Studio, Downtown, Pittsburgh, PA.","Recorded May 27-28, 2019.",-,"Surfaced March 13, 2022.",3:18,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1232,OUT,135,Man Of The Year (v1) Man Of The Year ( 999 ) | M.O.T.Y. Song was originally called 'Breakthrough'.,Juice WRLD,"Heavy Mellow, Joe Reeves, Rex Kudo & Skrillex","Adam Lunn, Max Lord & Rex Kudo",-,File Name (1): Breakthrough 060719 File Name (2): Man Of The Year 060719,,"Wendyhouse Production Studio, Shepherd's Bush, London, England.","Recorded July 6, 2019.","First Previewed July 6, 2019.","Surfaced July 14, 2020.",2:18,Original Demo Track ( Complete ),Trackout Session & Original Files 320kbps (.mp3)
1233,OUT,136,Me And You (v2.1) Me And U | Warning,Juice WRLD,Rex Kudo & TM88,Max Lord,"Song is unfinished, contains an open verse. Shares the same instrumental as Nav's 'Dream*'.",Juice Wrld - me and u v2.1 (s4r2REXTM88),s4r2REXTM88,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded November 3, 2019. File Exported January 26, 2020.","First Previewed January 31, 2024.","Surfaced November 13, 2024.",3:45,Alternate Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1234,OUT,137,Meet Me At The Door (with Chance The Rapper & Supa Bwe) [v2],"Juice WRLD, Chance The Rapper & Supa Bwe","Bijan Amir, Jack Rochon & Smoke Ono",Gabriel Jaskowiak,"Song is unfinished, contains an open verse.",Meet Me At the Door_Mix2,,"NightBird Recording Studio, West Hollywood, Los Angeles, CA.","Recorded April 24, 2019.",-,"Surfaced March 1, 2022.",3:56,Alternate Demo Track ( Open Verse ),Original File 320kbps (.mp3)
1235,OUT,138,Misery Avenue ( v3 ) Back To Me | This Is Me Song was originally untitled.,Juice WRLD,"Bricks, CHASETHEMONEY & Grizz",Marquis Robinson & Unknown,-,JuiceWRLD Chase x Bricks x Grizz,,"Complex 2010 Recording Studio, China Town, Chicago, IL.","Recorded February 2, 2018.","First Previewed September 24, 2019.","Surfaced October 27, 2020.",3:39,Alternate Demo Track ( Complete ),Original File 192kbps (.mp3)
1236,OUT,139,Moment (v1.1) Rockstar Boy,Juice WRLD,18YOMAN & Take A Daytrip,Max Lord,-,Juice Wrld - moment v1.1 (trail mix daytrip),Take A Daytrip x 18yoman - Trail Mix [inst demo 1],"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded November 8, 2019.","First Previewed November 8, 2019.","Surfaced March 9, 2022.",2:52,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1237,OUT,140,Motor Boat Anacondas | Road Runner,Juice WRLD,DY Krazy,Max Lord,-,Juice Wrld - motor boat v1.0 (DY 10),DY 10,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded October 19, 2019.","First Previewed October 23, 2019.","Surfaced August 24, 2024.",3:14,Throwaway Track ( Complete ),Original File 2117kbps (.wav)
1238,OUT,141,My Story Rule The Earth,Juice WRLD,"KBeaZy, Loesoe & Starboy",Max Lord,-,Juice Wrld - my story v1.0 (space kbeazy),KBeaZy x Loesoe x Starboy - space 131,"Myconian Avaton Hotel Recording Studio, Elia Beach, Elia, Mykonos, Greece.","Recorded August 22, 2019.","First Previewed August 22, 2019.","Surfaced May 14, 2024.",2:11,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1239,OUT,142,My Way Home (Pt. 2) [v1.1] On My Way Home | Oversprung ( Pt. 2 ) | Used And Abused,Juice WRLD,Bobby Raps,Max Lord,Sequel track to 'Oversprung'. Samples Steely Dan's 'Do It Again'.,Juice Wrld - my way home pt 2 v1.1 (psycho j),psycho j CUSTOM,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded June 26, 2019.","First Teased June 29, 2019.","Surfaced November 18, 2024.",4:06,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1240,OUT,143,My Way Home (Pt. 2) [v1.2] On My Way Home | Oversprung ( Pt. 2 ) | Used And Abused,Juice WRLD,Bobby Raps,Max Lord,Sequel track to 'Oversprung'. Samples Steely Dan's 'Do It Again'.,Juice Wrld - my way home pt 2 v1.2 (psycho j),psycho j CUSTOM,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded June 26, 2019. File Exported June 28, 2019.","First Previewed July 6, 2019.","Surfaced November 18, 2024.",4:06,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1241,OUT,144,My Way Home (Pt. 2) [v2] On My Way Home | Oversprung ( Pt. 2 ) | Used And Abused,Juice WRLD,Bobby Raps,Max Lord,Sequel track to 'Oversprung'. Samples Steely Dan's 'Do It Again'.,Juice Wrld - my way home pt 2 v2.0 (psycho j),psycho j CUSTOM,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded June 26, 2019. File Exported October 4, 2019.",-,"Surfaced June 5, 2022.",4:10,Alternate Demo Track ( Complete ),Original Files 2304kbps (.wav) 320kbps (.mp3)
1242,OUT,145,"Never Alone* (with G Herbo) Song is titled 'DYBH21BOB', after the instrumental.",Juice WRLD & G Herbo,Bobby Raps & DY Krazy,Max Lord,Shares the same instrumental as Young Thug's 'All Your Time'.,File Name: DYBH21BOB v1.0 herbo Session Title: DYBH21BOB v1.0 herbo.ptx,DYBH21BOB,"St. Martin's Lane Hotel Recording Studio, Covent Garden, London, England.","Recorded March 11, 2019.","First Previewed March 11, 2019.","Surfaced January 6, 2026.",2:52,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
1243,OUT,146,NLMB Oh Dear No Limit Oh Dear,Juice WRLD,Gezin,Max Lord,-,Juice Wrld - NLMB oh dear v1.0,,"[ ? ] Hotel Recording Studio , [ ? ], [ ? ], Germany .","Recorded March 27, 2019.","First Previewed March 28, 2019.","Surfaced August 8, 2020.",2:40,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1244,OUT,147,No Laces,Juice WRLD,"Charlie Handsome, Joe Reeves & Rex Kudo",Max Lord,-,Juice Wrld - no laces v1.0 (donnieBRASCO rex),Instrumental: CHRJ DonnieBRASCO 146 Beat Pack: rex august 2019,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded August 27-28, 2019. File Exported August 30, 2019.","First Previewed August 28, 2019.","Surfaced June 5, 2022.",3:17,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1245,OUT,148,No Limit No Hook (v1) Juice Man,Juice WRLD,Justin Craig,Justin Craig,-,File Name: No Limit No Hook Session Title: 3.ptx,brib33,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded October 27, 2019.",-,"Surfaced March 27, 2021. Session Surfaced January 3, 2025.",1:51,Original Demo Track ( Complete ),Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
1246,OUT,149,No Limit No Hook (v2) Juice Man,Juice WRLD,Justin Craig,Justin Craig,-,File Name: No Limit No Hook (JcraigMix) Produced By Chef J Session Title: 3.ptx,brib33,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded October 27, 2019. File Exported December 10, 2019",-,"Surfaced August 16, 2023. Session Surfaced January 3, 2025.",1:51,Alternate Demo Track ( Complete ),Studio Session & Original File 2117kbps (.wav)
1247,OUT,150,No Me Ame (feat. Juice WRLD) [v1],Anuel AA,M.R.I. & Rvssian,Max Lord,-,no me ame JUICE v1.0 ruff bounce,,"Juice's Vocals The Dominick Hotel Recording Studio, Soho, Manhattan, New York City, NY.","Juice's Vocals June 18-19, 2019.",-,"Surfaced February 21, 2020.",2:53,Original Feature Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1248,OUT,151,No Stopping Us*,Juice WRLD,DJ Scheme & Nuri,Max Lord,-,,,-,"Recorded May 26, 2019.","First Previewed October 3, 2023.","Surfaced November 29, 2023.",1:26,Throwaway Track ( Complete ),320kbps (.mp3)
1249,OUT,152,No Trespassing (v1.2),Juice WRLD,Nick Mira,Max Lord,Shares the same instrumental as Iann Dior's 'Dior Chain' & The Kid LAROI & Pete Jideonwo's 'Ride (Pt. 2)'.,Juice Wrld - no trespassing v1.2 (NM seaworld),Instrumental: NM - Seaworld 129BPM Beat Pack: Nick Mira - Juice WRLD 3.18,-,"Recorded April 1-9, 2019.","First Previewed April 16, 2019.","Surfaced November 13, 2020.",2:58,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1250,OUT,153,Not Ashamed,Juice WRLD,DY Krazy & Rex Kudo,Max Lord,-,Juice Wrld - not ashamed v1.0 (DYATL67rex),DYATL67REX,"The Westin Hotel Recording Studio , Downtown , St. Louis , MO .","Recorded June 3-4, 2019. File Exported June 11, 2019.","First Previewed January 18, 2023.","Surfaced February 8, 2023.",3:14,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1251,OUT,154,Not My Fault Chasing The Dragon,Juice WRLD,Hit-Boy,Max Lord,-,chalice 2018 191 not my fault,chalice 2018-191,"Rented Private Estate Recording Studio, Bermuda Dunes, CA.",-,"First Previewed April 15-16, 2019.","Surfaced January 25, 2026.",3:06,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
1252,OUT,155,Nothing Left Go Away,Juice WRLD,Purps On The Beat,Max Lord,-,Juice Wrld - nothing left v1.0 (loog purps),loog 159,"St. Martin's Lane Hotel Recording Studio , Covent Garden , London , England .","Recorded March 10-11, 2019.","First Previewed July 12, 2023.","Surfaced November 2, 2023.",3:14,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1253,OUT,156,Old Me (feat. Juice WRLD) The Old Me,5 Seconds Of Summer,"Andrew Watt, Dre Moon & Louis Bell","Eric Manco, Louis Bell & Paul LaMalfa",The song reuses Juice WRLD's vocals from 'Ball'.,The Old Me (feat - Juice WRLD) (11.4.19) 128BPM,,"Juice's Vocals Chalice Recording Studio, West Hollywood, Los Angeles, CA.","Juice's Vocals July 23-24, 2018. File Exported November 4, 2019.",-,"Surfaced January 2, 2021.",3:09,Feature Track ( Complete ),320kbps (.mp3)
1254,OUT,157,On And On* Dusk To Dawn | Turns Me On,Juice WRLD,"DY Krazy, Morgan O'Connor & Rex Kudo",Max Lord,-,,,-,"Recorded April [ ? ], 2019.","First Previewed July 30, 2022.","Surfaced August 22, 2024.",3:13,Throwaway Track ( Complete ),320kbps (.mp3)
1255,OUT,158,On My Own (v1.1) All Alone,Juice WRLD,Nick Mira & Repko,Max Lord,-,Juice Wrld - on my own v1.1 (NM deep),Instrumental: NM x RK - Deep 140BPM Loop: nm_rk_derez_140bpm MIDI: nick mira_derez Loop Kit: nick x repko x tanner Beat Pack: Nick Mira - Juice WRLD 8.4,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded August [ ? ], 2019. File Exported August 22, 2019.","First Previewed August 26, 2019.","Surfaced June 11, 2020.",3:53,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1256,OUT,159,On The Pills* Façade,Juice WRLD,ATL Jacob,Max Lord,"Song is unfinished, contains an open verse.",,FBG 1601 [ATLJACOB],"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded July 23, 2019.","First Previewed March 19, 2025.","Surfaced December 28, 2025.",2:18,Throwaway Track ( Open Verse ),320kbps (.mp3)
1257,OUT,160,On Time (v2.2),Juice WRLD,Gezin & Prevade,Max Lord,-,juice wrld - on time v2.2 (xr 5 GZ),Xr 5 GZ,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded October 8, 2019. File Exported February 26, 2020.","First Previewed August 9, 2020.","Surfaced September 7, 2020.",3:15,Alternate Demo Track ( Complete ),Original File 2117kbps (.wav)
1258,OUT,161,On Your Mind (v1.2) Dark Thoughts,Juice WRLD,Nick Mira,Max Lord,-,Juice Wrld - on your mind v1.2 (NM backstabber),Instrumental: NM - Backstabber 140BPM Beat Pack: Nick Mira - Juice WRLD 3.18,"Mercure Hotel Recording Studio , Omval , Amsterdam , Netherlands .","Recorded March 25, 2019.","First Previewed April 6, 2019. First Teased March 26, 2019.","Surfaced November 13, 2020.",4:34,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1259,OUT,162,Out My Body (with G Herbo),Juice WRLD,ENDZ & Gezin,Max Lord,-,Juice Wrld - out my body ft G herbo (euros 1),euros 1 x manu,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded November [ ? ], 2019. File Exported March 16, 2020.","First Previewed November [ ? ], 2019.","Surfaced August 4, 2020.",2:32,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1260,OUT,163,Out The Projects (v1.1),Juice WRLD,Bobby Raps,Max Lord,-,Juice Wrld - put the projects v1.1 (druggy160 bob),druggy160 bob,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded July 25, 2019. File Exported July 26, 2019.","First Previewed July 25, 2019.","Surfaced August 18, 2019.",2:59,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1261,OUT,164,Oversprung (v1.1) My Way Home ( Pt. 1 ) | We Just Begun,Juice WRLD,DY Krazy & Morgan O'Connor,Max Lord,-,Juice Wrld - over sprung v1.1 (DYBH32MORGAN),DYBH32MORGAN,"Rented Private Estate Recording Studio, Bermuda Dunes, CA.","Recorded April 10-19, 2019.",-,"Surfaced December 24, 2025.",3:59,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1262,OUT,165,Oversprung ( v1.2 ) My Way Home ( Pt. 1 ) | We Just Begun,Juice WRLD,DY Krazy & Morgan O'Connor,Max Lord,-,Juice Wrld - over sprung v1.2 (DYBH32MORGAN)_1,DYBH32MORGAN,"Rented Private Estate Recording Studio, Bermuda Dunes, CA.","Recorded April 10-19, 2019.","First Previewed July 5, 2019. First Teased June 21, 2019.","Surfaced May 18, 2022.",4:02,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
